"BlueLabel","GreenLabel","YellowLabel"
"Core","Selections","d3.select"
"Core","Selections","d3.selectAll"
"Core","Selections","selection.attr"
"Core","Selections","selection.classed"
"Core","Selections","selection.style"
"Core","Selections","selection.property"
"Core","Selections","selection.text"
"Core","Selections","selection.html"
"Core","Selections","selection.append"
"Core","Selections","selection.insert"
"Core","Selections","selection.remove"
"Core","Selections","selection.data"
"Core","Selections","selection.enter"
"Core","Selections","selection.exit"
"Core","Selections","selection.datum"
"Core","Selections","selection.filter"
"Core","Selections","selection.sort"
"Core","Selections","selection.order"
"Core","Selections","selection.on"
"Core","Selections","selection.transition"
"Core","Selections","selection.interrupt"
"Core","Selections","selection.each"
"Core","Selections","selection.call"
"Core","Selections","selection.empty"
"Core","Selections","selection.node"
"Core","Selections","selection.size"
"Core","Selections","selection.select"
"Core","Selections","selection.selectAll"
"Core","Selections","d3.selection"
"Core","Selections","d3.event"
"Core","Selections","d3.mouse"
"Core","Selections","d3.touch"
"Core","Selections","d3.touches"
"Core","Transitions","d3.transition"
"Core","Transitions","transition.delay"
"Core","Transitions","transition.duration"
"Core","Transitions","transition.ease"
"Core","Transitions","transition.attr"
"Core","Transitions","transition.attrTween"
"Core","Transitions","transition.style"
"Core","Transitions","transition.styleTween"
"Core","Transitions","transition.text"
"Core","Transitions","transition.tween"
"Core","Transitions","transition.select"
"Core","Transitions","transition.selectAll"
"Core","Transitions","transition.filter"
"Core","Transitions","transition.transition"
"Core","Transitions","transition.remove"
"Core","Transitions","transition.empty"
"Core","Transitions","transition.node"
"Core","Transitions","transition.size"
"Core","Transitions","transition.each"
"Core","Transitions","transition.call"
"Core","Transitions","d3.ease"
"Core","Transitions","ease"
"Core","Transitions","d3.timer"
"Core","Transitions","d3.timer.flush"
"Core","Transitions","d3.interpolate"
"Core","Transitions","interpolate"
"Core","Transitions","d3.interpolateNumber"
"Core","Transitions","d3.interpolateRound"
"Core","Transitions","d3.interpolateString"
"Core","Transitions","d3.interpolateRgb"
"Core","Transitions","d3.interpolateHsl"
"Core","Transitions","d3.interpolateLab"
"Core","Transitions","d3.interpolateHcl"
"Core","Transitions","d3.interpolateArray"
"Core","Transitions","d3.interpolateObject"
"Core","Transitions","d3.interpolateTransform"
"Core","Transitions","d3.interpolateZoom"
"Core","Transitions","d3.interpolators"
"Core","Arrays","d3.ascending"
"Core","Arrays","d3.descending"
"Core","Arrays","d3.min"
"Core","Arrays","d3.max"
"Core","Arrays","d3.extent"
"Core","Arrays","d3.sum"
"Core","Arrays","d3.mean"
"Core","Arrays","d3.median"
"Core","Arrays","d3.quantile"
"Core","Arrays","d3.variance"
"Core","Arrays","d3.deviation"
"Core","Arrays","d3.bisect"
"Core","Arrays","d3.bisectRight"
"Core","Arrays","d3.bisectLeft"
"Core","Arrays","d3.bisector"
"Core","Arrays","d3.shuffle"
"Core","Arrays","d3.permute"
"Core","Arrays","d3.zip"
"Core","Arrays","d3.transpose"
"Core","Arrays","d3.pairs"
"Core","Arrays","d3.keys"
"Core","Arrays","d3.values"
"Core","Arrays","d3.entries"
"Core","Arrays","d3.merge"
"Core","Arrays","d3.range"
"Core","Arrays","d3.nest"
"Core","Arrays","nest.key"
"Core","Arrays","nest.sortKeys"
"Core","Arrays","nest.sortValues"
"Core","Arrays","nest.rollup"
"Core","Arrays","nest.map"
"Core","Arrays","nest.entries"
"Core","Arrays","d3.map"
"Core","Arrays","map.has"
"Core","Arrays","map.get"
"Core","Arrays","map.set"
"Core","Arrays","map.remove"
"Core","Arrays","map.keys"
"Core","Arrays","map.values"
"Core","Arrays","map.entries"
"Core","Arrays","map.forEach"
"Core","Arrays","map.empty"
"Core","Arrays","map.size"
"Core","Arrays","d3.set"
"Core","Arrays","set.has"
"Core","Arrays","set.add"
"Core","Arrays","set.remove"
"Core","Arrays","set.values"
"Core","Arrays","set.forEach"
"Core","Arrays","set.empty"
"Core","Arrays","set.size"
"Core","Math","d3.random.normal"
"Core","Math","d3.random.logNormal"
"Core","Math","d3.random.bates"
"Core","Math","d3.random.irwinHall"
"Core","Math","d3.transform"
"Core","Requests","d3.xhr"
"Core","Requests","xhr.header"
"Core","Requests","xhr.mimeType"
"Core","Requests","xhr.response"
"Core","Requests","xhr.get"
"Core","Requests","xhr.post"
"Core","Requests","xhr.send"
"Core","Requests","xhr.abort"
"Core","Requests","xhr.on"
"Core","Requests","d3.text"
"Core","Requests","d3.json"
"Core","Requests","d3.html"
"Core","Requests","d3.xml"
"Core","Requests","d3.csv"
"Core","Requests","d3.tsv"
"Core","Formatting","d3.format"
"Core","Formatting","d3.formatPrefix"
"Core","Formatting","d3.requote"
"Core","Formatting","d3.round"
"Core","d3","d3.csv"
"Core","d3","d3.csv.parse"
"Core","d3","d3.csv.parseRows"
"Core","d3","d3.csv.format"
"Core","d3","d3.csv.formatRows"
"Core","d3","d3.tsv"
"Core","d3","d3.tsv.parse"
"Core","d3","d3.tsv.parseRows"
"Core","d3","d3.tsv.format"
"Core","d3","d3.tsv.formatRows"
"Core","d3","d3.dsv"
"Core","Localization","d3.locale"
"Core","Localization","locale.numberFormat"
"Core","Localization","locale.timeFormat"
"Core","Colors","d3.rgb"
"Core","Colors","rgb.brighter"
"Core","Colors","rgb.darker"
"Core","Colors","rgb.hsl"
"Core","Colors","rgb.toString"
"Core","Colors","d3.hsl"
"Core","Colors","hsl.brighter"
"Core","Colors","hsl.darker"
"Core","Colors","hsl.rgb"
"Core","Colors","hsl.toString"
"Core","Colors","d3.lab"
"Core","Colors","lab.brighter"
"Core","Colors","lab.darker"
"Core","Colors","lab.rgb"
"Core","Colors","lab.toString"
"Core","Colors","d3.hcl"
"Core","Colors","hcl.brighter"
"Core","Colors","hcl.darker"
"Core","Colors","hcl.rgb"
"Core","Colors","hcl.toString"
"Core","Namespaces","d3.ns.prefix"
"Core","Namespaces","d3.ns.qualify"
"Core","Internals","d3.functor"
"Core","Internals","d3.rebind"
"Core","Internals","d3.dispatch"
"Core","Internals","dispatch.on"
"Core","Internals","dispatch.type"
"Scales","Quantitative-Scales","d3.scale.linear"
"Scales","Quantitative-Scales","linear"
"Scales","Quantitative-Scales","linear.invert"
"Scales","Quantitative-Scales","linear.domain"
"Scales","Quantitative-Scales","linear.range"
"Scales","Quantitative-Scales","linear.rangeRound"
"Scales","Quantitative-Scales","linear.interpolate"
"Scales","Quantitative-Scales","linear.clamp"
"Scales","Quantitative-Scales","linear.nice"
"Scales","Quantitative-Scales","linear.ticks"
"Scales","Quantitative-Scales","linear.tickFormat"
"Scales","Quantitative-Scales","linear.copy"
"Scales","Quantitative-Scales","d3.scale.sqrt"
"Scales","Quantitative-Scales","d3.scale.pow"
"Scales","Quantitative-Scales","pow"
"Scales","Quantitative-Scales","pow.invert"
"Scales","Quantitative-Scales","pow.domain"
"Scales","Quantitative-Scales","pow.range"
"Scales","Quantitative-Scales","pow.rangeRound"
"Scales","Quantitative-Scales","pow.interpolate"
"Scales","Quantitative-Scales","pow.clamp"
"Scales","Quantitative-Scales","pow.nice"
"Scales","Quantitative-Scales","pow.ticks"
"Scales","Quantitative-Scales","pow.tickFormat"
"Scales","Quantitative-Scales","pow.exponent"
"Scales","Quantitative-Scales","pow.copy"
"Scales","Quantitative-Scales","d3.scale.log"
"Scales","Quantitative-Scales","log"
"Scales","Quantitative-Scales","log.invert"
"Scales","Quantitative-Scales","log.domain"
"Scales","Quantitative-Scales","log.range"
"Scales","Quantitative-Scales","log.rangeRound"
"Scales","Quantitative-Scales","log.base"
"Scales","Quantitative-Scales","log.interpolate"
"Scales","Quantitative-Scales","log.clamp"
"Scales","Quantitative-Scales","log.nice"
"Scales","Quantitative-Scales","log.ticks"
"Scales","Quantitative-Scales","log.tickFormat"
"Scales","Quantitative-Scales","log.copy"
"Scales","Quantitative-Scales","d3.scale.quantize"
"Scales","Quantitative-Scales","quantize"
"Scales","Quantitative-Scales","quantize.invertExtent"
"Scales","Quantitative-Scales","quantize.domain"
"Scales","Quantitative-Scales","quantize.range"
"Scales","Quantitative-Scales","quantize.copy"
"Scales","Quantitative-Scales","d3.scale.threshold"
"Scales","Quantitative-Scales","threshold"
"Scales","Quantitative-Scales","threshold.invertExtent"
"Scales","Quantitative-Scales","threshold.domain"
"Scales","Quantitative-Scales","threshold.range"
"Scales","Quantitative-Scales","threshold.copy"
"Scales","Quantitative-Scales","d3.scale.quantile"
"Scales","Quantitative-Scales","quantile"
"Scales","Quantitative-Scales","quantile.invertExtent"
"Scales","Quantitative-Scales","quantile.domain"
"Scales","Quantitative-Scales","quantile.range"
"Scales","Quantitative-Scales","quantile.quantiles"
"Scales","Quantitative-Scales","quantile.copy"
"Scales","Quantitative-Scales","d3.scale.identity"
"Scales","Quantitative-Scales","identity"
"Scales","Quantitative-Scales","identity.invert"
"Scales","Quantitative-Scales","identity.domain"
"Scales","Quantitative-Scales","identity.range"
"Scales","Quantitative-Scales","identity.ticks"
"Scales","Quantitative-Scales","identity.tickFormat"
"Scales","Quantitative-Scales","identity.copy"
"Scales","Ordinal-Scales","d3.scale.ordinal"
"Scales","Ordinal-Scales","ordinal"
"Scales","Ordinal-Scales","ordinal.domain"
"Scales","Ordinal-Scales","ordinal.range"
"Scales","Ordinal-Scales","ordinal.rangePoints"
"Scales","Ordinal-Scales","ordinal.rangeRoundPoints"
"Scales","Ordinal-Scales","ordinal.rangeBands"
"Scales","Ordinal-Scales","ordinal.rangeRoundBands"
"Scales","Ordinal-Scales","ordinal.rangeBand"
"Scales","Ordinal-Scales","ordinal.rangeExtent"
"Scales","Ordinal-Scales","ordinal.copy"
"Scales","Ordinal-Scales","d3.scale.category10"
"Scales","Ordinal-Scales","d3.scale.category20"
"Scales","Ordinal-Scales","d3.scale.category20b"
"Scales","Ordinal-Scales","d3.scale.category20c"
"SVG","SVG-Shapes","d3.svg.line"
"SVG","SVG-Shapes","line"
"SVG","SVG-Shapes","line.x"
"SVG","SVG-Shapes","line.y"
"SVG","SVG-Shapes","line.interpolate"
"SVG","SVG-Shapes","line.tension"
