extracted, source, charStart, charEnd
"<script src="//d3js.org/d3.v3.min.js" charset="utf-8"></script>", training_samples/training_sample_0.html, 107, 170
"<script src="https://cdnjs.cloudflare.com/ajax/libs/d3fc/4.3.1/d3fc.bundle.min.js"></script>", training_samples/training_sample_1.html, 228, 320
"<script src="index.js"></script>", training_samples/training_sample_1.html, 931, 963
"<script src="react.min.js"></script>", training_samples/training_sample_10.html, 315, 351
"<script src="JSXTransformer.min.js"></script>", training_samples/training_sample_10.html, 356, 401
"<script src="dates.js"></script>", training_samples/training_sample_10.html, 407, 439
"<script type="text/jsx" src="app.jsx"></script>", training_samples/training_sample_10.html, 444, 491
"<script src="http://d3js.org/d3.v3.min.js" charset="utf-8"></script>", training_samples/training_sample_11.html, 192, 260
"<script src='layout.cloud.js'></script>", training_samples/training_sample_11.html, 265, 304
"<script src="http://d3js.org/queue.v1.min.js"></script>", training_samples/training_sample_11.html, 309, 364
"<script src="http://davidbau.com/encode/seedrandom-min.js"></script>", training_samples/training_sample_11.html, 369, 437
"<script src='index.js'></script>", training_samples/training_sample_11.html, 518, 550
"<script type="text/javascript" src="https://ajax.googleapis.com/ajax/libs/jquery/2.1.3/jquery.min.js"></script>", training_samples/training_sample_12.html, 703, 814
"<script src="https://maxcdn.bootstrapcdn.com/bootstrap/3.3.4/js/bootstrap.min.js"></script>", training_samples/training_sample_12.html, 819, 910
"<script src="https://cdnjs.cloudflare.com/ajax/libs/d3/3.5.5/d3.min.js"></script>", training_samples/training_sample_12.html, 915, 996
"<script src="moebio_framework.min.js"></script>", training_samples/training_sample_13.html, 428, 475
"<!--<script type="text/javascript" src="../d3.v3.js"></script>-->", training_samples/training_sample_14.html, 111, 176
"<script type="text/javascript" src="http://d3js.org./d3.v3.js"></script>", training_samples/training_sample_14.html, 185, 257
"<script src="http://d3js.org/d3.v3.min.js" charset="utf-8"></script>", training_samples/training_sample_15.html, 322, 390
"<script type="text/javascript" src="//cdnjs.cloudflare.com/ajax/libs/lodash.js/3.9.3/lodash.min.js"></script>", training_samples/training_sample_15.html, 394, 503
"<script src="https://rawgit.com/turban/d3.slider/master/d3.slider.js"></script>", training_samples/training_sample_15.html, 879, 958
"<script src="legend_component.js" charset="utf-8"></script>", training_samples/training_sample_15.html, 959, 1018
"<script src="d3_code_legend.js" charset="utf-8"></script>", training_samples/training_sample_15.html, 1020, 1077
"<script src='https://api.tiles.mapbox.com/mapbox.js/v2.1.9/mapbox.js'></script>", training_samples/training_sample_16.html, 184, 263
"<script src="http://d3js.org/d3.v3.min.js"></script>", training_samples/training_sample_17.html, 167, 219
"<script src="howler.min.js"></script>", training_samples/training_sample_17.html, 220, 257
"<script src="soundsAndBoxes.js"></script>", training_samples/training_sample_17.html, 258, 299
"<script src="http://d3js.org/d3.v3.min.js"></script>", training_samples/training_sample_18.html, 395, 447
"<script type="text/javascript" src="https://cdnjs.cloudflare.com/ajax/libs/d3/3.5.6/d3.min.js"></script>", training_samples/training_sample_19.html, 889, 993
"<script type="text/javascript" src="https://code.jquery.com/jquery-1.9.1.min.js"></script>", training_samples/training_sample_19.html, 995, 1085
"<script type="text/javascript" src="js/stupidtable.js"></script>", training_samples/training_sample_19.html, 1152, 1216
"<script src="/1wheel/raw/67b47524ed8ed829d021/d3-3.5.5.js"></script>", training_samples/training_sample_2.html, 225, 293
"<script src="/1wheel/raw/67b47524ed8ed829d021/lodash-3.8.0.js"></script>", training_samples/training_sample_2.html, 294, 366
"<script src='/1wheel/raw/1b6758978dc2d52d3a37/d3-jetpack.js'></script>", training_samples/training_sample_2.html, 367, 437
"<script src='/1wheel/raw/1b6758978dc2d52d3a37/d3-starterkit.js'></script>", training_samples/training_sample_2.html, 438, 511
"<script src="http://d3js.org/d3.v3.min.js"></script>", training_samples/training_sample_20.html, 76, 128
"<script type="text/javascript" src="http://d3js.org/d3.v3.js"></script>", training_samples/training_sample_21.html, 110, 181
"<script src="https://cdnjs.cloudflare.com/ajax/libs/d3/3.5.5/d3.min.js"></script>", training_samples/training_sample_22.html, 50, 131
"<script src="http://d3js.org/d3.v3.min.js" charset="utf-8"></script>", training_samples/training_sample_23.html, 219, 287
"<script src="https://cdnjs.cloudflare.com/ajax/libs/lodash.js/3.10.1/lodash.min.js" charset="utf-8"></script>", training_samples/training_sample_23.html, 290, 399
"<script src="//cdnjs.cloudflare.com/ajax/libs/moment.js/2.10.6/moment.min.js"></script>", training_samples/training_sample_23.html, 402, 489
"<script src="d3_code_heatmap_cal.js"></script>", training_samples/training_sample_23.html, 683, 729
"<script src="http://d3js.org/d3.v3.min.js"></script>", training_samples/training_sample_24.html, 57, 109
"<script src="http://dimplejs.org/dist/dimple.v2.0.0.min.js"></script>", training_samples/training_sample_24.html, 112, 181
"<script type="text/javascript" src="http://mbostock.github.com/d3/d3.js?2.5.0"></script>", training_samples/training_sample_25.html, 308, 396
"<script src="https://maps.googleapis.com/maps/api/js?key=AIzaSyDwlBHEIw2KsaYlvkpUyLFzDUP-dixEra0"></script>", training_samples/training_sample_26.html, 420, 527
"<script src='http://dev.openlayers.org/releases/OpenLayers-2.13.1/lib/OpenLayers.js'></script>", training_samples/training_sample_26.html, 532, 626
"<script src="http://d3js.org/d3.v3.js"></script>", training_samples/training_sample_27.html, 137, 185
"<script type="text/javascript" src="http://d3js.org/d3.v3.js"></script>", training_samples/training_sample_28.html, 115, 186
"<script src="http://d3js.org/d3.v3.min.js" charset="utf-8"></script>", training_samples/training_sample_29.html, 225, 293
"<script src="//code.jquery.com/jquery-1.11.3.min.js"></script>", training_samples/training_sample_3.html, 718, 780
"<script src="//cdn.bootcss.com/chroma-js/1.1.1/chroma.min.js"></script>", training_samples/training_sample_3.html, 1704, 1775
"<script src="//cdn.bootcss.com/topojson/1.6.19/topojson.min.js"></script>", training_samples/training_sample_3.html, 1776, 1849
"<script src="http://cdn.leafletjs.com/leaflet-0.7.3/leaflet.js"></script>", training_samples/training_sample_3.html, 1850, 1923
"<script src="//cdn.bootcss.com/d3/3.5.6/d3.min.js"></script>", training_samples/training_sample_3.html, 1924, 1984
"<script src="map.js"></script>", training_samples/training_sample_3.html, 1985, 2015
"<script src="https://cdnjs.cloudflare.com/ajax/libs/d3/3.5.5/d3.min.js"></script>", training_samples/training_sample_30.html, 50, 131
"<script src="https://cdnjs.cloudflare.com/ajax/libs/d3/3.5.5/d3.min.js"></script>", training_samples/training_sample_31.html, 297, 378
"<script type="text/javascript" src="http://d3js.org/d3.v3.js"></script>", training_samples/training_sample_32.html, 110, 181
"<script src="http://d3js.org/d3.v3.min.js"></script>", training_samples/training_sample_33.html, 46, 98
"<script src="http://curran.github.io/model/cdn/model-v0.2.4.js"></script>", training_samples/training_sample_34.html, 142, 215
"<script src="http://chiasm-project.github.io/chiasm-component/chiasm-component-v0.2.3.js"></script>", training_samples/training_sample_34.html, 220, 319
"<script src="https://cdnjs.cloudflare.com/ajax/libs/lodash.js/3.10.1/lodash.min.js"></script>", training_samples/training_sample_34.html, 324, 417
"<script src="https://cdnjs.cloudflare.com/ajax/libs/d3/3.5.6/d3.min.js"></script>", training_samples/training_sample_34.html, 422, 503
"<script src="http://chiasm-project.github.io/chiasm/chiasm-v0.3.0.js"></script>", training_samples/training_sample_34.html, 508, 587
"<script src="http://chiasm-project.github.io/chiasm-layout/chiasm-layout-v0.2.2.js"></script>", training_samples/training_sample_34.html, 592, 685
"<script src="http://chiasm-project.github.io/chiasm-dataset-loader/chiasm-dataset-loader-v0.3.1.js"></script>", training_samples/training_sample_34.html, 690, 799
"<script src="http://chiasm-project.github.io/chiasm-links/chiasm-links-v0.2.1.js"></script>", training_samples/training_sample_34.html, 804, 895
"<script src="http://chiasm-project.github.io/chiasm-charts/chiasm-charts-v0.1.0.js"></script>", training_samples/training_sample_34.html, 900, 993
"<script type="text/javascript" src="http://d3js.org/d3.v3.js"></script>", training_samples/training_sample_35.html, 107, 178
"<script data-main="main.js" src="//cdnjs.cloudflare.com/ajax/libs/require.js/2.1.14/require.js"></script>", training_samples/training_sample_36.html, 117, 222
"<script type="text/javascript" src="http://d3js.org/d3.v3.min.js"></script>", training_samples/training_sample_37.html, 93, 168
"<script data-main="main.js" src="//cdnjs.cloudflare.com/ajax/libs/require.js/2.1.14/require.js"></script>", training_samples/training_sample_38.html, 117, 222
"<script type="text/javascript" src="http://d3js.org/d3.v3.js"></script>", training_samples/training_sample_39.html, 97, 168
"<script src="//d3js.org/d3.v3.min.js"></script>", training_samples/training_sample_4.html, 295, 342
"<script src="https://cdnjs.cloudflare.com/ajax/libs/d3/3.5.14/d3.min.js"></script>", training_samples/training_sample_40.html, 387, 469
"<script src="https://cdnjs.cloudflare.com/ajax/libs/topojson/1.6.20/topojson.min.js"></script>", training_samples/training_sample_40.html, 474, 568
"<script src="https://cdnjs.cloudflare.com/ajax/libs/lodash.js/4.1.0/lodash.js"></script>", training_samples/training_sample_40.html, 573, 661
"<script src="main.js"></script>", training_samples/training_sample_40.html, 693, 724
"<script src="https://cdnjs.cloudflare.com/ajax/libs/jquery/3.0.0-alpha1/jquery.min.js"></script>", training_samples/training_sample_41.html, 1061, 1157
"<script src="https://cdnjs.cloudflare.com/ajax/libs/d3/3.5.6/d3.min.js"></script>", training_samples/training_sample_41.html, 1158, 1239
"<script src="https://gitcdn.xyz/repo/cool-Blue/d3-lib/master/elapsedTime/elapsed-time-2.0.js"></script>", training_samples/training_sample_41.html, 1240, 1343
"<script src="https://gitcdn.xyz/repo/cool-Blue/d3-lib/master/plot/fps-histogram.js"></script>", training_samples/training_sample_41.html, 1344, 1437
"<script src="https://gitcdn.xyz/repo/cool-Blue/d3-lib/master/plot/plot-transform.js"></script>", training_samples/training_sample_41.html, 1438, 1532
"<script src="http://d3js.org/d3.v3.min.js" charset="utf-8"></script>", training_samples/training_sample_42.html, 326, 394
"<script type="text/javascript" src="http://d3js.org/d3.v3.js"></script>", training_samples/training_sample_43.html, 129, 200
"<script src="http://chimpchomp.us/theme/chimpchomp/javascripts/modernizr.foundation.js"></script>", training_samples/training_sample_44.html, 1663, 1760
"<script src="//ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js"></script>", training_samples/training_sample_44.html, 1765, 1848
"<script src="http://chimpchomp.us/theme/chimpchomp/javascripts/jquery.foundation.topbar.js"></script>", training_samples/training_sample_44.html, 1853, 1954
"<script src="http://chimpchomp.us/theme/chimpchomp/javascripts/jquery.flexslider-min.js"></script>", training_samples/training_sample_44.html, 1958, 2056
"<script src="http://chimpchomp.us/theme/chimpchomp/javascripts/modernizr.custom.js"></script>", training_samples/training_sample_44.html, 2060, 2153
"<script src="http://chimpchomp.us/theme/chimpchomp/javascripts/app.js"></script>", training_samples/training_sample_44.html, 2159, 2239
"<script src="http://chimpchomp.us/theme/chimpchomp/javascripts/swipe.js"></script>", training_samples/training_sample_44.html, 2243, 2325
"<script src="http://chimpchomp.us/theme/chimpchomp/javascripts/jquery.isotope.min.js"></script>", training_samples/training_sample_44.html, 2329, 2424
"<script src="http://chimpchomp.us/theme/chimpchomp/javascripts/jquery.isotope.perfectmasonry.js"></script>", training_samples/training_sample_44.html, 2428, 2534
"<script src="https://cdnjs.cloudflare.com/ajax/libs/lodash.js/3.10.1/lodash.min.js"></script>", training_samples/training_sample_45.html, 95, 188
"<script src="https://cdnjs.cloudflare.com/ajax/libs/topojson/1.6.19/topojson.min.js"></script>", training_samples/training_sample_45.html, 193, 287
"<script src="https://cdnjs.cloudflare.com/ajax/libs/d3/3.5.6/d3.min.js"></script>", training_samples/training_sample_45.html, 292, 373
"<script src="http://cdn.leafletjs.com/leaflet-0.7.5/leaflet.js"></script>", training_samples/training_sample_45.html, 523, 596
"<script src="http://curran.github.io/model/cdn/model-v0.2.4.js"></script>", training_samples/training_sample_45.html, 676, 749
"<script src="http://chiasm-project.github.io/chiasm/chiasm-v0.2.0.js"></script>", training_samples/training_sample_45.html, 819, 898
"<script src="http://chiasm-project.github.io/chiasm-component/chiasm-component-v0.2.0.js"></script>", training_samples/training_sample_45.html, 903, 1002
"<script src="http://chiasm-project.github.io/chiasm-layout/chiasm-layout-v0.2.1.js"></script>", training_samples/training_sample_45.html, 1007, 1100
"<script src="http://chiasm-project.github.io/chiasm-links/chiasm-links-v0.2.1.js"></script>", training_samples/training_sample_45.html, 1105, 1196
"<script src="globe.js"></script>", training_samples/training_sample_45.html, 1255, 1287
"<script src="chiasm-leaflet.js"></script>", training_samples/training_sample_45.html, 1292, 1333
"<script src="https://cdnjs.cloudflare.com/ajax/libs/d3/3.5.5/d3.min.js"></script>", training_samples/training_sample_46.html, 50, 131
"<script src="http://labratrevenge.com/d3-tip/javascripts/d3.tip.v0.6.3.js"></script>", training_samples/training_sample_46.html, 1161, 1245
"<script src="http://www.sumbera.com/gist/js/libtess/libtess.cat.js"></script>", training_samples/training_sample_47.html, 1308, 1385
"<script src="http://cdn.leafletjs.com/leaflet-0.7.2/leaflet.js"></script>", training_samples/training_sample_47.html, 3688, 3761
"<script src="http://www.sumbera.com/gist/js/leaflet/canvas/L.CanvasOverlay.js"></script>", training_samples/training_sample_47.html, 3766, 3854
"<script src="http://www.sumbera.com/gist/data/CZDistricts.js" charset="utf-8"></script>", training_samples/training_sample_47.html, 3870, 3957
"<script src="http://cdn.leafletjs.com/leaflet-0.7.3/leaflet.js"></script>", training_samples/training_sample_48.html, 144, 217
"<script src="https://ajax.googleapis.com/ajax/libs/jquery/2.1.3/jquery.min.js"></script>", training_samples/training_sample_48.html, 220, 308
"<script src="https://cdnjs.cloudflare.com/ajax/libs/d3/3.5.5/d3.min.js"></script>", training_samples/training_sample_49.html, 281, 362
"<script src="d3.js"></script>", training_samples/training_sample_5.html, 82, 111
"<script src="topojson.js"></script>", training_samples/training_sample_5.html, 112, 147
"<script src="http://d3js.org/d3.v3.min.js"></script>", training_samples/training_sample_6.html, 152, 204
"<script src="d3.canvas-hexbin.js"></script>", training_samples/training_sample_6.html, 205, 248
"<script src="http://mbostock.github.com/d3/d3.js?2.9.2"></script>", training_samples/training_sample_7.html, 94, 159
"<script src="http://d3js.org/d3.v3.min.js"></script>", training_samples/training_sample_8.html, 326, 378
"<script src="tile.js"></script>", training_samples/training_sample_8.html, 379, 410
"<script src="https://cdnjs.cloudflare.com/ajax/libs/d3/3.5.9/d3.min.js"></script>", training_samples/training_sample_9.html, 50, 131
