extracted, source, charStart, charEnd
"<title>Intermediate D3</title>", training_samples/training_sample_0.html, 68, 98
"<title>Simplified Low Barrel</title>", training_samples/training_sample_1.html, 79, 115
"<title>Week Calendar of Life</title>", training_samples/training_sample_10.html, 47, 83
"<title>OpeNER - Opinion targets (Amsterdam)</title>", training_samples/training_sample_11.html, 136, 187
"<title>D3 Stacked Bar Chart</title>", training_samples/training_sample_12.html, 1001, 1036
"", training_samples/training_sample_13.html, , 
"<title>Sorting Elements</title>", training_samples/training_sample_14.html, 68, 99
"<title>d3 legend | scrollable legend</title>", training_samples/training_sample_15.html, 67, 111
"<title>GeoJSON from live realtime data</title>", training_samples/training_sample_16.html, 53, 99
"<title>Sounds and Boxes</title>", training_samples/training_sample_17.html, 63, 94
"", training_samples/training_sample_18.html, , 
"<title>F1 Driver's Wage between 2014 and 2015</title>", training_samples/training_sample_19.html, 68, 121
"", training_samples/training_sample_2.html, , 
"<title>Gallery</title>", training_samples/training_sample_20.html, 53, 75
"<title>Loading CSV Data with D3</title>", training_samples/training_sample_21.html, 68, 107
"", training_samples/training_sample_22.html, , 
"<title>d3 | reusable heatmap calendar</title>", training_samples/training_sample_23.html, 67, 112
"", training_samples/training_sample_24.html, , 
"", training_samples/training_sample_25.html, , 
"", training_samples/training_sample_26.html, , 
"", training_samples/training_sample_27.html, , 
"<title>Consumption of Grapes by Race</title>", training_samples/training_sample_28.html, 68, 112
"<title>Responsiv data vis</title>", training_samples/training_sample_29.html, 52, 85
"<title>EU map</title>", training_samples/training_sample_3.html, 876, 897
"", training_samples/training_sample_30.html, , 
"", training_samples/training_sample_31.html, , 
"<title>Loading CSV Data with D3</title>", training_samples/training_sample_32.html, 68, 107
"", training_samples/training_sample_33.html, , 
"<title>Chiasm Boilerplate</title>", training_samples/training_sample_34.html, 63, 96
"<title>d3 module 3 - oxford</title>", training_samples/training_sample_35.html, 69, 104
"<title>Line Chart</title>", training_samples/training_sample_36.html, 572, 597
"<title>Degrees</title>", training_samples/training_sample_37.html, 68, 90
"<title>Bar Chart</title>", training_samples/training_sample_38.html, 732, 756
"<title>Cleaning Up</title>", training_samples/training_sample_39.html, 68, 94
"", training_samples/training_sample_4.html, , 
"<title>Tryouts D3 Maps</title>", training_samples/training_sample_40.html, 206, 236
"<title>http://stackoverflow.com/questions/32521887/animate-objects-in-force-layout-in-d3-js/32523428#32523428</title>", training_samples/training_sample_41.html, 71, 188
"", training_samples/training_sample_42.html, , 
"<title>Renewable consumption in the European Union</title>", training_samples/training_sample_43.html, 68, 126
"<title>", training_samples/training_sample_44.html, 456, 463
"<title>Map & Globe</title>", training_samples/training_sample_45.html, 63, 89
"<title>Shotplot</title>", training_samples/training_sample_46.html, 144, 167
"<title>Polygon libtess fill in WebGL</title>", training_samples/training_sample_47.html, 34, 78
"<title>Leaflet Squirrel - Part 5</title>", training_samples/training_sample_48.html, 16, 56
"", training_samples/training_sample_49.html, , 
"", training_samples/training_sample_5.html, , 
"", training_samples/training_sample_6.html, , 
"<title>Force-Directed Layout with Convex Hull</title>", training_samples/training_sample_7.html, 36, 89
"", training_samples/training_sample_8.html, , 
"", training_samples/training_sample_9.html, , 
